candidate_id,candiate_name,gender,age,dob,political_party,election_symbol,is_independent,province_id,provience_name,district_code,district_name,constituency_no,serial_no,votes_received,rank,is_elected,vote_share_pct,qualification_normalized
339933,Kshitij Thebe,Male,38,8/27/2044,Communist Party of Nepal (Unified Marxist-Leninist),Sun,FALSE,1,Koshi region,1,Taplejung,1,1,13962,1,TRUE,32.55,Bachelor
341131,Gajendra Prasad Tumyang Limbu,Male,46,5/11/2036,Nepali Congress,Tree,FALSE,1,Koshi region,1,Taplejung,1,2,11711,2,FALSE,27.3,Bachelor
339610,Khel Prasad Budakshetri,Male,50,8/12/2032,Nepali Communist Party,five-pointed star,FALSE,1,Koshi region,1,Taplejung,1,3,6775,3,FALSE,15.79,Plus 2 / Higher Secondary
340005,Santosh Rai,Male,49,3/17/2033,Labor Culture Party,The soil in Anjuli,FALSE,1,Koshi region,1,Taplejung,1,4,5209,4,FALSE,12.14,Below SLC
340459,Birendra Shrestha,Male,55,12/13/2026,National Independence Party,Bell,FALSE,1,Koshi region,1,Taplejung,1,5,4155,5,FALSE,9.69,?????????? ????????
340763,Kirti Mann Madden,Male,65,11/19/2017,Ujjaya Nepal Party,A burning electric lamp,FALSE,1,Koshi region,1,Taplejung,1,6,232,6,FALSE,0.54,SLC
339429,"Muksam Labung, Limbu",Male,44,10/1/2038,Federal Democratic National Forum,Khukuri with a handle,FALSE,1,Koshi region,1,Taplejung,1,7,221,7,FALSE,0.52,SEE
340160,Indra Prasad Thapa,Male,63,1/22/2019,National Democratic Party,Plow,FALSE,1,Koshi region,1,Taplejung,1,8,185,8,FALSE,0.43,??.?.
340649,Narapati Poudel,Male,61,11/9/2021,Communist Party of Nepal (Maoist),A rose with two petals inside a circle.,FALSE,1,Koshi region,1,Taplejung,1,9,155,9,FALSE,0.36,SLC
340108,Arun Subba (Lechharvo),Male,48,6/24/2034,Janata Samajwadi Party (single election symbol),Millstone,FALSE,1,Koshi region,1,Taplejung,1,10,141,10,FALSE,0.33,SLC
340363,Surya Gurung,Male,66,4/16/2016,"Janata Samajwadi Party, Nepal",A tilted umbrella,FALSE,1,Koshi region,1,Taplejung,1,11,55,11,FALSE,0.13,??.?.
339312,Saint Bahadur Limbu,Male,57,9/1/2025,Mongol National Organization,Rooster,FALSE,1,Koshi region,1,Taplejung,1,12,50,12,FALSE,0.12,????? ??
339488,Indra Kumar Limbu,Male,48,5/29/2034,Nepal Janmukti Party,Home,FALSE,1,Koshi region,1,Taplejung,1,13,46,13,FALSE,0.11,Literate
340563,Narendra Kumar Kerung,Male,53,8/21/2029,Nepali Congress,Tree,FALSE,1,Koshi region,2,Panchthar,1,14,17233,1,TRUE,25.75,??????????? ??????????
339925,Hast Raj Sherma,Male,40,11/27/2041,Labor Culture Party,The soil in Anjuli,FALSE,1,Koshi region,2,Panchthar,1,15,14734,2,FALSE,22.02,SLC
340277,Aindra Sundar Nemwang,Male,48,7/12/2034,Communist Party of Nepal (Unified Marxist-Leninist),Sun,FALSE,1,Koshi region,2,Panchthar,1,16,14534,3,FALSE,21.72,Plus 2 / Higher Secondary
340425,Hark Bahadur Nembang,Male,45,9/12/2037,Nepali Communist Party,five-pointed star,FALSE,1,Koshi region,2,Panchthar,1,17,11443,4,FALSE,17.1,?.?
340066,Mahendra Bikram Thamsuhang,Male,57,9/14/2025,National Independence Party,Bell,FALSE,1,Koshi region,2,Panchthar,1,18,4197,5,FALSE,6.27,?.?
340963,Tek Bahadur Subba,Male,42,2040.02.08,National Change Party,Flute,FALSE,1,Koshi region,2,Panchthar,1,19,2825,6,FALSE,4.22,12
340153,Tej Kumar Kurumwang,Male,62,7/3/2020,National Democratic Party,Plow,FALSE,1,Koshi region,2,Panchthar,1,20,925,7,FALSE,1.38,?? .??
341366,Machindra Prasad Begha,Male,69,1/15/2013,"Janata Samajwadi Party, Nepal",A tilted umbrella,FALSE,1,Koshi region,2,Panchthar,1,21,247,8,FALSE,0.37,Literate
342252,Bhanu Bhakta Fiyak,Male,50,2032.10.08,Federal Democratic National Forum,Khukuri with a handle,FALSE,1,Koshi region,2,Panchthar,1,22,180,9,FALSE,0.27,??.?
339540,Ram Kumar Tumrok,Male,47,2/12/2035,Mongol National Organization,Rooster,FALSE,1,Koshi region,2,Panchthar,1,23,162,10,FALSE,0.24,???????
342095,Friend Lingden,Male,52,2/24/2030,National Liberation Party Nepal (single election symbol),Millstone,FALSE,1,Koshi region,2,Panchthar,1,24,143,11,FALSE,0.21,??.?
341621,Prakash Kafle,Male,38,2044.01.22,Progressive Democratic Party,Single open eye,FALSE,1,Koshi region,2,Panchthar,1,25,115,12,FALSE,0.17,12+
341790,Vijay Nemwang,Male,43,12/26/2038,Communist Party of Nepal (Maoist),A rose with two petals inside a circle.,FALSE,1,Koshi region,2,Panchthar,1,26,90,13,FALSE,0.13,Literate
341025,Narendra Prasad Kurumwang,Male,68,3/29/2014,Nepal Janmukti Party,Home,FALSE,1,Koshi region,2,Panchthar,1,27,61,14,FALSE,0.09,SLC
340696,Laxhuman Tamang,Male,40,8/19/2042,Nepal Labor Farmers Party,Model,FALSE,1,Koshi region,2,Panchthar,1,28,32,15,FALSE,0.05,SLC
340081,Pure rye,Male,35,11/7/2047,Nepali Congress,Tree,FALSE,1,Koshi region,3,Ilam,1,29,14543,1,TRUE,24.49,Unknown
339759,Vinod Nembang Limbu,Male,37,8/27/2045,Labor Culture Party,The soil in Anjuli,FALSE,1,Koshi region,3,Ilam,1,30,13632,2,FALSE,22.95,Unknown
339884,Kazi Maan Kagate,Male,64,6/17/2018,Communist Party of Nepal (Unified Marxist-Leninist),Sun,FALSE,1,Koshi region,3,Ilam,1,31,11966,3,FALSE,20.15,Unknown
340213,Bimal Gadal,Male,54,2/15/2028,National Independence Party,Bell,FALSE,1,Koshi region,3,Ilam,1,32,9160,4,FALSE,15.42,Unknown
340630,Ran Bahadur Rai,Male,54,2/20/2028,Nepali Communist Party,five-pointed star,FALSE,1,Koshi region,3,Ilam,1,33,7665,5,FALSE,12.91,Unknown
339552,Buddha Lal Meche,Male,55,2/9/2027,Mongol National Organization,Rooster,FALSE,1,Koshi region,3,Ilam,1,34,801,6,FALSE,1.35,Unknown
339362,Jwala Nepal,Woman,35,12/6/2046,National Democratic Party,Plow,FALSE,1,Koshi region,3,Ilam,1,35,577,7,FALSE,0.97,Unknown
339675,Hari Bahadur Gurung,Male,45,10/17/2037,Ujjaya Nepal Party,A burning electric lamp,FALSE,1,Koshi region,3,Ilam,1,36,481,8,FALSE,0.81,Unknown
341364,Leela Bahadur Sunuwar,Male,58,3/15/2024,Janata Samajwadi Party (single election symbol),Millstone,FALSE,1,Koshi region,3,Ilam,1,37,296,9,FALSE,0.5,Unknown
341045,Naradamani Sangpang,Male,64,6/14/2018,Communist Party of Nepal (Maoist),A rose with two petals inside a circle.,FALSE,1,Koshi region,3,Ilam,1,38,165,10,FALSE,0.28,Unknown
339474,Tulsi Keshari Prajapati (Chunju),Woman,51,4/15/2031,Nepal Labor Farmers Party,Model,FALSE,1,Koshi region,3,Ilam,1,39,44,11,FALSE,0.07,Unknown
342168,Ram Prasad Limbu,Male,63,9/5/2019,Federal Democratic National Forum,Khukuri with a handle,FALSE,1,Koshi region,3,Ilam,1,40,39,12,FALSE,0.07,Unknown
340811,Dambar Singh Limbu,Male,68,1/24/2014,Nepal Janmukti Party,Home,FALSE,1,Koshi region,3,Ilam,1,41,22,13,FALSE,0.04,Unknown
339922,Suhang Nembang,Male,36,11/6/2046,Communist Party of Nepal (Unified Marxist-Leninist),Sun,FALSE,1,Koshi region,3,Ilam,2,42,22426,1,TRUE,35.16,Unknown
340271,Bhesharaj Acharya,Male,61,4/15/2021,Nepali Congress,Tree,FALSE,1,Koshi region,3,Ilam,2,43,14650,2,FALSE,22.97,Unknown
339867,Sudeep Rai,Male,37,8/24/2045,Labor Culture Party,The soil in Anjuli,FALSE,1,Koshi region,3,Ilam,2,44,14400,3,FALSE,22.58,Unknown
341350,Gokul Bahadur Rai,Male,32,1/23/2050,National Independence Party,Bell,FALSE,1,Koshi region,3,Ilam,2,45,7814,4,FALSE,12.25,Unknown
340605,Om Bahadur Gurung,Male,47,6/6/2035,Nepali Communist Party,five-pointed star,FALSE,1,Koshi region,3,Ilam,2,46,1172,5,FALSE,1.84,Unknown
341060,Pavitra Limbu Tumwangfe,Woman,51,6/11/2031,National People's Liberation Party,Shaking hands,FALSE,1,Koshi region,3,Ilam,2,47,851,6,FALSE,1.33,Unknown
339849,Day of the Dead,Male,37,6/24/2045,National Change Party,Flute,FALSE,1,Koshi region,3,Ilam,2,48,751,7,FALSE,1.18,Unknown
339583,Shyam Bahadur Limbu,Male,39,5/2/2043,Mongol National Organization,Rooster,FALSE,1,Koshi region,3,Ilam,2,49,704,8,FALSE,1.1,Unknown
339478,Ganesh Prasad Dulal,Male,64,4/4/2018,National Democratic Party,Plow,FALSE,1,Koshi region,3,Ilam,2,50,352,9,FALSE,0.55,Unknown
341301,"Regards, Lingden (Limbu)",Male,49,9/15/2033,Federal Democratic National Forum,Khukuri with a handle,FALSE,1,Koshi region,3,Ilam,2,51,254,10,FALSE,0.4,Unknown
340147,Bal Bahadur Angdembe,Male,64,12/4/2017,Janata Samajwadi Party (single election symbol),Millstone,FALSE,1,Koshi region,3,Ilam,2,52,165,11,FALSE,0.26,Unknown
340003,Home Prasad Khatiwada,Male,68,8/14/2014,Communist Party of Nepal (Maoist),A rose with two petals inside a circle.,FALSE,1,Koshi region,3,Ilam,2,53,153,12,FALSE,0.24,Unknown
339431,Yam Bahadur Limbu,Male,49,7/15/2033,Nepal Janmukti Party,Home,FALSE,1,Koshi region,3,Ilam,2,54,60,13,FALSE,0.09,Unknown
340889,Dak Prasad Gautam,Male,58,12/19/2023,Independent,Round,TRUE,1,Koshi region,3,Ilam,2,55,29,14,FALSE,0.05,Unknown
339485,Nisha Dangi,Woman,29,8/16/2053,National Independence Party,Bell,FALSE,1,Koshi region,4,Jhapa,1,56,45680,1,TRUE,58.35,Masters
340934,Keshav Raj Pandey,Male,54,4/29/2028,Nepali Congress,Tree,FALSE,1,Koshi region,4,Jhapa,1,57,10550,2,FALSE,13.48,Bachelor
339617,Kewalram Rai,Male,48,1/10/2034,Labor Culture Party,The soil in Anjuli,FALSE,1,Koshi region,4,Jhapa,1,58,10004,3,FALSE,12.78,SLC
340001,Ramchandra Upreti,Male,67,2015.11.26,Communist Party of Nepal (Unified Marxist-Leninist),Sun,FALSE,1,Koshi region,4,Jhapa,1,59,7659,4,FALSE,9.78,????? 12
339749,Hemraj Karki,Male,60,1/22/2022,National Democratic Party,Plow,FALSE,1,Koshi region,4,Jhapa,1,60,1612,5,FALSE,2.06,Masters
