district_code,district_name,province_id,Provience_name,total_constituencies,total_candidates,total_votes_cast,dominant_party,dominant_party_seats,closest_margin_pct,widest_margin_pct,male_candidates,female_candidates
1,Taplejung,1,Koshi region,1,13,42897,Communist Party of Nepal (Unified Marxist-Leninist),1,5.25,5.25,13,0
2,Panchthar,1,Koshi region,1,15,66921,Nepali Congress,1,3.73,3.73,15,0
3,Ilam,1,Koshi region,2,27,123172,Nepali Congress,1,1.53,12.19,24,3
4,Jhapa,1,Koshi region,5,90,431512,National Independence Party,5,25.91,53.37,75,15
5,Sankhuwasabha,1,Koshi region,1,16,58888,Communist Party of Nepal (Unified Marxist-Leninist),1,1.08,1.08,13,3
6,Thirteenth,1,Koshi region,1,12,36795,Nepali Congress,1,2.39,2.39,11,1
7,Bhojpur,1,Koshi region,1,12,53728,Labor Culture Party,1,3.56,3.56,12,0
8,Dhankuta,1,Koshi region,1,17,59208,Communist Party of Nepal (Unified Marxist-Leninist),1,6.54,6.54,17,0
9,Morang,1,Koshi region,6,110,466565,National Independence Party,6,13.68,49.92,98,12
10,Sunsari,1,Koshi region,4,110,346275,National Independence Party,3,10.23,43.25,90,20
11,Solukhumbu,1,Koshi region,1,12,38566,Nepali Congress,1,9.73,9.73,11,1
12,Khotang,1,Koshi region,1,15,58638,Labor Culture Party,1,6.65,6.65,15,0
13,Okhaldhunga,1,Koshi region,1,15,55535,National Independence Party,1,0.01,0.01,11,3
14,Udaipur,1,Koshi region,2,31,114672,National Independence Party,2,17.55,25.68,31,0
15,Saptari,2,Madhesh Pradesh,4,102,269706,National Independence Party,4,22.52,42.55,82,20
16,Siraha,2,Madhesh Pradesh,4,138,270798,National Independence Party,4,31.28,46.83,130,8
17,Dolakha,3,Bagmati Province,1,33,79815,National Independence Party,1,18.7,18.7,29,4
18,Ramechhap,3,Bagmati Province,1,17,81994,National Independence Party,1,8.78,8.78,16,1
19,Sindhuli,3,Bagmati Province,2,28,110941,National Independence Party,2,1.37,5.89,26,2
20,Dhanusha,2,Madhesh Pradesh,4,157,231570,National Independence Party,3,0,41.01,142,15
21,Mahottari,2,Madhesh Pradesh,4,139,241411,National Independence Party,4,34.81,44.52,120,19
22,Sarlahi,2,Madhesh Pradesh,4,131,297411,National Independence Party,4,17.53,49.17,125,6
23,Rasuwa,3,Bagmati Province,1,12,23941,Nepali Congress,1,21.24,21.24,11,1
24,Dhading,3,Bagmati Province,2,47,150592,National Independence Party,2,8.41,29.81,43,4
25,Nuwakot,3,Bagmati Province,2,30,134370,National Independence Party,2,5.96,24.67,29,1
26,Kathmandu,3,Bagmati Province,10,250,458100,National Independence Party,10,18.1,58.7,204,46
