candidate_id,candidate_name,gender,age,dob,political_party,is_independent,province_name,district_name,constituency_no,votes_received,vote_share_pct,victory_margin,victory_margin_pct,runner_up_name,runner_up_party,qualification_normalized,institution
339933,Kshitiz Thebe,Male,38,8/27/2044,Communist Party of Nepal (Unified Marxist-Leninist),FALSE,Koshi region,Taplejung,1,13962,32.55,2251,5.25,Gajendra Prasad Tumyang Limbu,Nepali Congress,Bachelor,TU
340563,Narendra Kumar Kerung,Male,53,8/21/2029,Nepali Congress,FALSE,Koshi region,Panchthar,1,17233,25.75,2499,3.73,Hast Raj Sherma,Labor Culture Party,??????????? ??????????,????.?? ?????????
340081,Pure rye,Male,35,11/7/2047,Nepali Congress,FALSE,Koshi region,Ilam,1,14543,24.49,911,1.53,Vinod Nembang Limbu,Labor Culture Party,Unknown,
339922,Suhang Nembang,Male,36,11/6/2046,Communist Party of Nepal (Unified Marxist-Leninist),FALSE,Koshi region,Ilam,2,22426,35.16,7776,12.19,Bhesharaj Acharya,Nepali Congress,Unknown,
339485,Nisha Dangi,Woman,29,8/16/2053,National Independence Party,FALSE,Koshi region,Jhapa,1,45680,58.35,35130,44.87,Keshav Raj Pandey,Nepali Congress,Masters,TU
339380,Indira Rana Magar,Woman,55,3/18/2027,National Independence Party,FALSE,Koshi region,Jhapa,2,60110,65.82,48742,53.37,Dev Raj Ghimire,Communist Party of Nepal (Unified Marxist-Leninist),?? ??,???????? ??????????
339542,Prakash Pathak,Male,37,4/1/2045,National Independence Party,FALSE,Koshi region,Jhapa,3,38674,46.87,21380,25.91,Rajendra Prasad Lingden,National Democratic Party,????????????,TU
339393,Shambhu Prasad Dhakal,Male,50,8/2/2032,National Independence Party,FALSE,Koshi region,Jhapa,4,43631,56.62,31645,41.07,Lal Prasad Sanwa Limbu,Communist Party of Nepal (Unified Marxist-Leninist),?? ? ??????? ???????,
339653,Walendra Shah,Male,36,10/25/2046,National Independence Party,FALSE,Koshi region,Jhapa,5,68348,66.79,49614,48.48,KP Sharma Oli,Communist Party of Nepal (Unified Marxist-Leninist),BTU,
340348,Arjun Kumar Karki,Male,62,4/26/2020,Communist Party of Nepal (Unified Marxist-Leninist),FALSE,Koshi region,Sankhuwasabha,1,15636,26.55,636,1.08,Mingma Sherpa,National Independence Party,????????????,"university of east anglia, school of development studies, UK"
340612,Santosh Subba,Male,48,8/13/2034,Nepali Congress,FALSE,Koshi region,Thirteenth,1,11561,31.42,879,2.39,Bhanu Bhakta Dhakal,Communist Party of Nepal (Unified Marxist-Leninist),??.??.??,???????? ???? ????????
339479,Dhruvaraj Rai,Male,43,3/13/2039,Labor Culture Party,FALSE,Koshi region,Bhojpur,1,16663,31.01,1913,3.56,Sherdhan Rai,Communist Party of Nepal (Unified Marxist-Leninist),Unknown,
339725,Rajendra Kumar Rai,Male,59,12/29/2022,Communist Party of Nepal (Unified Marxist-Leninist),FALSE,Koshi region,Dhankuta,1,18132,30.62,3875,6.54,Dinesh Rai,Nepali Congress,??.?.,????.??.
341227,Yajnamani Nyaipane,Male,41,5/27/2041,National Independence Party,FALSE,Koshi region,Morang,1,27367,38.03,9845,13.68,Shanti Pakhrin Lama,Labor Culture Party,??.?.,
341642,Krishna Kumar Karki,Male,40,8/21/2042,National Independence Party,FALSE,Koshi region,Morang,2,40924,54.86,25300,33.91,Dilip Kumar Aggarwal,Communist Party of Nepal (Unified Marxist-Leninist),Unknown,
341077,Ganesh Karki,Male,40,9/28/2042,National Independence Party,FALSE,Koshi region,Morang,3,36924,41.28,12570,14.05,Sunil Kumar Sharma,Nepali Congress,??????????????,????.??.
342293,Santosh Rajbanshi,Male,34,9/12/2048,National Independence Party,FALSE,Koshi region,Morang,4,40833,54.79,28015,37.59,Guru Raj Ghimire,Nepali Congress,Bachelor,???? ??
341509,Asha Jha,Woman,42,4/15/2040,National Independence Party,FALSE,Koshi region,Morang,5,30434,43.13,21019,29.79,Full Kumar Lalwani,Nepali Congress,Bachelor,"???????????? ?????? ??????? ????, ??????"
341123,Rubina Acharya,Woman,31,10/10/2051,National Independence Party,FALSE,Koshi region,Morang,6,55513,64.96,42663,49.92,Dr. Shekhar Koirala,Nepali Congress,MBA,
339794,Hark Raj Rai,Male,43,11/15/2039,Labor Culture Party,FALSE,Koshi region,Sunsari,1,35741,43.07,8492,10.23,Goma Tamang,National Independence Party,Bachelor,??.??.
341392,Lal Bikram Thapa,Male,39,3/18/2043,National Independence Party,FALSE,Koshi region,Sunsari,2,57348,60.09,41277,43.25,Rajeev Koirala,Nepali Congress,???????? ?? ????? ?????????????,?????????? ????????
340042,Ashok Kumar Chaudhary,Male,42,1/4/2040,National Independence Party,FALSE,Koshi region,Sunsari,3,47421,53.05,26920,30.12,Vijay Kumar Gachchhdar,Nepali Congress,Plus 2 / Higher Secondary,
340603,Deepak Kumar Sah,Male,49,2/15/2033,National Independence Party,FALSE,Koshi region,Sunsari,4,42771,54.51,26184,33.37,Gyanendra Bahadur Karki,Nepali Congress,?????? ???????? ?????????????,????.?? ?????? ????????????? ???????? ?????? ???????
341534,Prakash Singh Karki,Male,62,7/22/2020,Nepali Congress,FALSE,Koshi region,Solukhumbu,1,13166,34.14,3752,9.73,Ashim Rai,Nepali Communist Party,Plus 2 / Higher Secondary,
339964,Aren Rai,Male,29,6/8/2053,Labor Culture Party,FALSE,Koshi region,Khotang,1,16612,28.33,3898,6.65,Dev Vikram Rai,Communist Party of Nepal (Unified Marxist-Leninist),Plus 2 / Higher Secondary,?????? ???? ???????
339838,Bishwa Raj Pokharel,Male,59,4/20/2023,National Independence Party,FALSE,Koshi region,Okhaldhunga,1,13953,25.12,5,0.01,Kumar Luitel,Nepali Congress,??. ?.,???????? ?????????????
341485,Parash Mani Gelal,Male,40,1/10/2042,National Independence Party,FALSE,Koshi region,Udaipur,1,30590,41.38,18984,25.68,Rajesh Kumar Rai,Labor Culture Party,Masters,????.??.
341674,Surya Bahadur Tamang,Male,41,10/10/2041,National Independence Party,FALSE,Koshi region,Udaipur,2,14802,36.32,7154,17.55,Amwar Bahadur Rayamazhi,Communist Party of Nepal (Unified Marxist-Leninist),Unknown,
341238,Pushpa Kumari Chaudhary,Woman,36,8/5/2046,National Independence Party,FALSE,Madhesh Pradesh,Saptari,1,38195,53.55,30348,42.55,Sumit Kumar -,Swabhiman Party,Unknown,
339852,Ramji Yadav,Male,30,7/26/2052,National Independence Party,FALSE,Madhesh Pradesh,Saptari,2,28404,45.24,14141,22.52,Umesh Kumar Yadav,"Janata Samajwadi Party, Nepal",Bachelor,
341099,Amar Kant Chaudhary,Male,44,8/1/2038,National Independence Party,FALSE,Madhesh Pradesh,Saptari,3,32875,47.44,17636,25.45,Upendra Yadav,"Janata Samajwadi Party, Nepal",Bachelor,
341103,Sitaram Sah,Male,65,10/15/2017,National Independence Party,FALSE,Madhesh Pradesh,Saptari,4,36412,54.92,23309,35.16,Teju Lal Chaudhary,Nepali Congress,I.sc Forestory,HETAUDA
340556,Bablu Gupta,Male,28,4/7/2054,National Independence Party,FALSE,Madhesh Pradesh,Siraha,1,41322,61.35,31538,46.83,Ram Sundar Chaudhary,Nepali Congress,Bachelor,??????
341250,Shiv Shankar Yadav,Male,30,6/20/2052,National Independence Party,FALSE,Madhesh Pradesh,Siraha,2,39561,56.81,26747,38.41,Ram Chandra Yadav,Nepali Congress,Bachelor,tu
342059,Shambhu Kumar Yadav,Male,41,9/15/2041,National Independence Party,FALSE,Madhesh Pradesh,Siraha,3,32249,45.65,22093,31.28,Leelanath Shrestha,Communist Party of Nepal (Unified Marxist-Leninist),?? ??.??.??,chancho univarcity
341713,Tapeshwar Yadav,Male,33,10/15/2049,National Independence Party,FALSE,Madhesh Pradesh,Siraha,4,36210,57.33,28238,44.71,Ajay Shankar Nayak,Nepali Communist Party,????? ?????????,TU
