party_name,party_name_eng,is_independent,seats_contested,seats_won,win_rate_pct,total_votes,vote_share_pct,avg_votes_per_candidate,male_candidates,female_candidates,other_candidates
????????? ????????? ??????,National Independence Party,FALSE,163,125,76.69,4650697,44.34,28532,147,16,0
?????? ????????,Nepali Congress,FALSE,165,18,10.91,1999137,19.06,12116,154,11,0
????? ?????????? ?????? (?????? ??????????? ?????????),Communist Party of Nepal (Unified Marxist-Leninist),FALSE,164,9,5.49,1613844,15.39,9841,154,10,0
?????? ?????????? ??????,Nepali Communist Party,FALSE,164,7,4.27,965586,9.21,5888,152,12,0
???? ???????? ??????,Labor Culture Party,FALSE,109,3,2.75,303902,2.9,2788,102,7,0
????????? ??????????? ??????,National Democratic Party,FALSE,163,1,0.61,203541,1.94,1249,155,8,0
?????????,Independent,TRUE,1143,1,0.09,102116,0.97,89,986,157,0
??????? ????? ??????,Ujjaya Nepal Party,FALSE,105,0,0,115608,1.1,1101,99,6,0
????? ???????????? ????????? ????,Federal Democratic National Forum,FALSE,23,0,0,2129,0.02,93,18,5,0
????? ?????????? ?????? (???????),Communist Party of Nepal (Maoist),FALSE,130,0,0,31862,0.3,245,126,4,0
???? ???????? ??????(??? ????? ?????),Janata Samajwadi Party (single election symbol),FALSE,19,0,0,3154,0.03,166,18,1,0
"???? ???????? ??????, ?????","Janata Samajwadi Party, Nepal",FALSE,94,0,0,189158,1.8,2012,86,8,0
????? ????? ???????????,Mongol National Organization,FALSE,113,0,0,17822,0.17,158,98,15,0
????? ???????? ??????,Nepal Janmukti Party,FALSE,18,0,0,835,0.01,46,17,1,0
????????? ???????? ??????,National Change Party,FALSE,17,0,0,10006,0.1,589,15,2,0
????????? ?????? ?????? ?????(??? ????? ?????),National Liberation Party Nepal (single election symbol),FALSE,33,0,0,14668,0.14,444,30,3,0
????????? ???????????? ??????,Progressive Democratic Party,FALSE,82,0,0,24939,0.24,304,80,2,0
????? ????? ????? ??????,Nepal Labor Farmers Party,FALSE,120,0,0,41018,0.39,342,66,54,0
????????? ???????? ??????,National People's Liberation Party,FALSE,17,0,0,3599,0.03,212,13,4,0
????? ???????? ??????,Nepal Sadbhavana Party,FALSE,1,0,0,109,0,109,1,0,0
???? ??????,People's Party,FALSE,61,0,0,61360,0.59,1006,57,4,0
????? ?????????? ?????? (???????),Communist Party of Nepal (United),FALSE,35,0,0,1680,0.02,48,34,1,0
????? ???????? ?????,National Republic of Nepal,FALSE,46,0,0,4862,0.05,106,42,4,0
????? ?????????? ?????? ??????????? (????????),Communist Party of Nepal (Marxist) (Pushpalal),FALSE,4,0,0,408,0,102,4,0,0
????? ?????? ??????,People First Party,FALSE,3,0,0,369,0,123,3,0,0
????????? ????????,National People's Front,FALSE,70,0,0,24793,0.24,354,61,9,0
?????? ????????? ???????? ??????,Nepali Janashramdan Culture Party,FALSE,2,0,0,172,0,86,2,0,0
?? ???? ??????(??? ????? ?????),Aam Janata Party (Single Election Symbol),FALSE,98,0,0,19632,0.19,200,73,25,0
?????? ?????? ?????,Friendship Party Nepal,FALSE,29,0,0,383,0,13,23,6,0
"????????? ???????? ??????, ?????","National Energetic Party, Nepal",FALSE,3,0,0,4304,0.04,1435,3,0,0
??????? ?????? ??????,United Citizens Party,FALSE,21,0,0,1866,0.02,89,21,0,0
?? ???????? ??????,Jai Matrubhoomi Party,FALSE,14,0,0,707,0.01,50,14,0,0
??????? ??????? ?? ?????,Nation Building Party Nepal,FALSE,13,0,0,5030,0.05,387,10,3,0
??????? ???????? ??????,Inclusive Socialist Party,FALSE,6,0,0,234,0,39,4,1,1
"?????? ????????? ??????, ?????(??? ????? ?????)","Civil Liberties Party, Nepal (single election symbol)",FALSE,26,0,0,32227,0.31,1240,22,4,0
???????? ?????? ??????,Sovereign Citizens Party,FALSE,6,0,0,1716,0.02,286,5,1,0
????????? ???? ??????,National Joint Party,FALSE,1,0,0,191,0,191,1,0,0
????? ???????????? ??????,Nepal Democratic Party,FALSE,5,0,0,320,0,64,5,0,0
??????? ???????? ?????? ?????,Inclusive Socialist Party Nepal,FALSE,2,0,0,393,0,196,2,0,0
????? ???? ??????,Nepal Janata Party,FALSE,20,0,0,2537,0.02,127,19,1,0
?????? ???? ??,Nepali Janata Dal,FALSE,5,0,0,256,0,51,5,0,0
?????? ?????????? ?????? ?????(??? ????? ?????),Citizen Supremacy Party Nepal (single election symbol),FALSE,3,0,0,120,0,40,3,0,0
????????? ??????,Swabhiman Party,FALSE,2,0,0,11404,0.11,5702,2,0,0
????? ???? ??????? ??????,Nepal People's Protection Party,FALSE,3,0,0,588,0.01,196,3,0,0
????????? ???? ??,National Unity Party,FALSE,5,0,0,1455,0.01,291,5,0,0
?? ?????? ??????,People's Rights Party,FALSE,6,0,0,544,0.01,91,6,0,0
??????? ???? ?????? ??????,Nepali Party for Nepal,FALSE,10,0,0,2881,0.03,288,10,0,0
"???? ???????????? ??????, ?????","People's Democratic Party, Nepal",FALSE,4,0,0,77,0,19,4,0,0
????? ????? ???????? ??????(??? ????? ?????),Nepal Federal Socialist Party (single election symbol),FALSE,8,0,0,8439,0.08,1055,8,0,0
????? ???? ?????? ?????(??? ????? ?????),Bahujan Ekta Party Nepal (single election symbol),FALSE,7,0,0,1606,0.02,229,7,0,0
????? ????? ??????,Bahujan Shakti Party,FALSE,3,0,0,354,0,118,3,0,0
???????? ???? ??????,Historical Janata Party,FALSE,1,0,0,0,0,0,1,0,0
?????? ?????? ?????(??? ????? ?????),Janadesh Party Nepal (single election symbol),FALSE,4,0,0,176,0,44,4,0,0
????????? ???? ?????? ?????,Rastriya Janata Party Nepal,FALSE,1,0,0,13,0,13,1,0,0
"????????? ?????? ???????, ?????","National Liberation Movement, Nepal",FALSE,3,0,0,569,0.01,190,3,0,0
?????? ???????????? ??????,Dynamic Democratic Party,FALSE,3,0,0,229,0,76,2,1,0
???????? ????? ???????????? ??????,United Nepal Democratic Party,FALSE,2,0,0,32,0,16,2,0,0
?????????????? ?????? ?????,Democratic Party Nepal,FALSE,3,0,0,37,0,12,2,1,0
????? ?????? ??????,Nepal Janasewa Party,FALSE,7,0,0,159,0,23,6,1,0
??????? ?????,Trimul Nepal,FALSE,3,0,0,16,0,5,3,0,0
????? ?????????? ?????? (???????????)(??? ????? ?????),Communist Party of Nepal (Marxist) (single election symbol),FALSE,1,0,0,16,0,16,1,0,0
????????? ?????? ??????,National Citizens Party,FALSE,1,0,0,12,0,12,1,0,0
????? ?????????? ??????,Nepal Humanist Party,FALSE,6,0,0,949,0.01,158,6,0,0
????? ???????? ??????,Nepal Matrubhumi Party,FALSE,1,0,0,23,0,23,1,0,0
?????????? ?????? ?????,Gandhian Party Nepal,FALSE,1,0,0,4,0,4,1,0,0
????????? ???? ??????,National People's Party,FALSE,4,0,0,953,0.01,238,4,0,0
